"database","scenarios","type"
"snr_p20_0-805","snr_p20_2035_0d805","snr_p20_0-805"
"snr_p20_0-805","snr_p20_2045_0d805","snr_p20_0-805"
"snr_p20_1-205","snr_p20_2025_1d205","snr_p20_1-205"
"snr_p20_1-205","snr_p20_2035_1d205","snr_p20_1-205"
"snr_p20_1-205","snr_p20_2045_1d205","snr_p20_1-205"
"snr_p30_0-005","snr_p30_2025_0d005","snr_p30_0-005"
"snr_p30_0-005","snr_p30_2035_0d005","snr_p30_0-005"
"snr_p30_0-005","snr_p30_2045_0d005","snr_p30_0-005"
"snr_p30_0-405","snr_p30_2025_0d405","snr_p30_0-405"
"snr_p30_0-405","snr_p30_2035_0d405","snr_p30_0-405"
"snr_p30_0-405","snr_p30_2045_0d405","snr_p30_0-405"
"snr_p30_0-805","snr_p30_2025_0d805","snr_p30_0-805"
"snr_p30_0-805","snr_p30_2035_0d805","snr_p30_0-805"
"snr_p30_0-805","snr_p30_2045_0d805","snr_p30_0-805"
"snr_p30_1-205","snr_p30_2025_1d205","snr_p30_1-205"
"snr_p30_1-205","snr_p30_2035_1d205","snr_p30_1-205"
"snr_p30_1-205","snr_p30_2045_1d205","snr_p30_1-205"
"snr_p40_0-005","snr_p40_2025_0d005","snr_p40_0-005"
"snr_p40_0-005","snr_p40_2035_0d005","snr_p40_0-005"
"snr_p40_0-005","snr_p40_2045_0d005","snr_p40_0-005"
"snr_p40_0-405","snr_p40_2025_0d405","snr_p40_0-405"
"snr_p40_0-405","snr_p40_2035_0d405","snr_p40_0-405"
"snr_p40_0-405","snr_p40_2045_0d405","snr_p40_0-405"
"snr_p40_0-805","snr_p40_2025_0d805","snr_p40_0-805"
"snr_p40_0-805","snr_p40_2035_0d805","snr_p40_0-805"
"snr_p40_0-805","snr_p40_2045_0d805","snr_p40_0-805"
"snr_p40_1-205","snr_p40_2025_1d205","snr_p40_1-205"
"snr_p40_1-205","snr_p40_2035_1d205","snr_p40_1-205"
"snr_p40_1-205","snr_p40_2045_1d205","snr_p40_1-205"
"snr_p50_0-005","snr_p50_2025_0d005","snr_p50_0-005"
"snr_p50_0-005","snr_p50_2035_0d005","snr_p50_0-005"
"snr_p50_0-005","snr_p50_2045_0d005","snr_p50_0-005"
"snr_p50_0-405","snr_p50_2025_0d405","snr_p50_0-405"
"snr_p50_0-405","snr_p50_2035_0d405","snr_p50_0-405"
"snr_p50_0-405","snr_p50_2045_0d405","snr_p50_0-405"
"snr_p50_0-805","snr_p50_2025_0d805","snr_p50_0-805"
"snr_p50_0-805","snr_p50_2035_0d805","snr_p50_0-805"
"snr_p50_0-805","snr_p50_2045_0d805","snr_p50_0-805"
"snr_p50_1-205","snr_p50_2025_1d205","snr_p50_1-205"
"snr_p50_1-205","snr_p50_2035_1d205","snr_p50_1-205"
"snr_p50_1-205","snr_p50_2045_1d205","snr_p50_1-205"
"snr_p60_0-005","snr_p60_2025_0d005","snr_p60_0-005"
"snr_p60_0-005","snr_p60_2035_0d005","snr_p60_0-005"
"snr_p60_0-005","snr_p60_2045_0d005","snr_p60_0-005"
"snr_p60_0-405","snr_p60_2025_0d405","snr_p60_0-405"
