# File: A_demand_technology.csv
# Title: Technologies and inputs of agricultural production
# Unit: NA
# Description: Generic information of technologies and inputs of agricultural production
# Source: GCAM assumptions
# Column types: ccccccccccn
# ----------
supplysector,subsector0,subsector1,subsector,technology,apply.to,from.year,to.year,interpolation.function,minicam.energy.input,coefficient
FoodDemand_Staples,Wheat,Wheat,Wheat,Wheat,share-weight,final-calibration-year,end-year,fixed,regional wheat,3
FoodDemand_NonStaples,Protein,Animal,Rumiant,Beef,share-weight,final-calibration-year,end-year,fixed,regional beef,3
FoodDemand_NonStaples,Protein,Animal,Rumiant,Dairy,share-weight,final-calibration-year,end-year,fixed,regional dairy,3
FoodDemand_NonStaples,Protein,Animal,Monogastric,Pork,share-weight,final-calibration-year,end-year,fixed,regional pork,3
FoodDemand_NonStaples,Protein,Animal,Monogastric,Poultry,share-weight,final-calibration-year,end-year,fixed,regional poultry,3
FoodDemand_NonStaples,Protein,Animal,Rumiant,SheepGoat,share-weight,final-calibration-year,end-year,fixed,regional sheepgoat,3
FoodDemand_NonStaples,Protein,Animal,OtherMeat_Fish,OtherMeat_Fish,share-weight,final-calibration-year,end-year,fixed,OtherMeat_Fish,3
NonFoodDemand_Crops,Corn,Corn,Corn,Corn,share-weight,final-calibration-year,end-year,fixed,regional corn,3
NonFoodDemand_Crops,FiberCrop,FiberCrop,FiberCrop,FiberCrop,share-weight,final-calibration-year,end-year,fixed,regional fibercrop,3
NonFoodDemand_Crops,FodderGrass,FodderGrass,FodderGrass,FodderGrass,share-weight,final-calibration-year,end-year,fixed,FodderGrass,3
NonFoodDemand_Crops,FodderHerb,FodderHerb,FodderHerb,FodderHerb,share-weight,final-calibration-year,end-year,fixed,FodderHerb,3
NonFoodDemand_Crops,Fruits,Fruits,Fruits,Fruits,share-weight,final-calibration-year,end-year,fixed,regional fruits,3
NonFoodDemand_Crops,Legumes,Legumes,Legumes,Legumes,share-weight,final-calibration-year,end-year,fixed,regional legumes,3
NonFoodDemand_Crops,MiscCrop,MiscCrop,MiscCrop,MiscCrop,share-weight,final-calibration-year,end-year,fixed,regional misccrop,3
NonFoodDemand_Crops,NutsSeeds,NutsSeeds,NutsSeeds,NutsSeeds,share-weight,final-calibration-year,end-year,fixed,regional nuts_seeds,3
NonFoodDemand_Crops,OilCrop,OilCrop,OilCrop,OilCrop,share-weight,final-calibration-year,end-year,fixed,regional oilcrop,3
NonFoodDemand_Crops,OtherGrain,OtherGrain,OtherGrain,OtherGrain,share-weight,final-calibration-year,end-year,fixed,regional othergrain,3
NonFoodDemand_Crops,OilPalm,OilPalm,OilPalm,OilPalm,share-weight,final-calibration-year,end-year,fixed,regional oilpalm,3
NonFoodDemand_Crops,Rice,Rice,Rice,Rice,share-weight,final-calibration-year,end-year,fixed,regional rice,3
NonFoodDemand_Crops,RootTuber,RootTuber,RootTuber,RootTuber,share-weight,final-calibration-year,end-year,fixed,regional root_tuber,3
NonFoodDemand_Crops,Soybean,Soybean,Soybean,Soybean,share-weight,final-calibration-year,end-year,fixed,regional soybean,3
NonFoodDemand_Crops,SugarCrop,SugarCrop,SugarCrop,SugarCrop,share-weight,final-calibration-year,end-year,fixed,regional sugarcrop,3
NonFoodDemand_Crops,Vegetables,Vegetables,Vegetables,Vegetables,share-weight,final-calibration-year,end-year,fixed,regional vegetables,3
NonFoodDemand_Crops,Wheat,Wheat,Wheat,Wheat,share-weight,final-calibration-year,end-year,fixed,regional wheat,3
NonFoodDemand_Meat,Beef,Beef,Beef,Beef,share-weight,final-calibration-year,end-year,fixed,regional beef,3
NonFoodDemand_Meat,Dairy,Dairy,Dairy,Dairy,share-weight,final-calibration-year,end-year,fixed,regional dairy,3
NonFoodDemand_Meat,Pork,Pork,Pork,Pork,share-weight,final-calibration-year,end-year,fixed,regional pork,3
NonFoodDemand_Meat,Poultry,Poultry,Poultry,Poultry,share-weight,final-calibration-year,end-year,fixed,regional poultry,3
NonFoodDemand_Meat,SheepGoat,SheepGoat,SheepGoat,SheepGoat,share-weight,final-calibration-year,end-year,fixed,regional sheepgoat,3
NonFoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,OtherMeat_Fish,OtherMeat_Fish,share-weight,final-calibration-year,end-year,fixed,OtherMeat_Fish,3
NonFoodDemand_Forest,Forest,Forest,Forest,Forest,share-weight,final-calibration-year,end-year,fixed,regional forest,3
