# File: diets_rumin_percentage_REF.csv
# Title: SSP2 ruminant protein intake (ruminant protein intake / total animal protein consumption)
# Units: Percentage (0-1)
# Comments: Values considering the IAM COMPACT branch updated with Xin's improvements and an additional sub-sector
# Column types: cccnnnnnnnnnnn
# ----------
scenario,region,Units,X1990,X2005,X2010,X2015,X2020,X2025,X2030,X2035,X2040,X2045,X2050
REF_IAMCOMPACT+XIN,Colombia,Percentage,0.723771429782388,0.659956896006468,0.593993441752554,0.545017817867208,0.543717470475147,0.542309522944164,0.54120511127604,0.540343841566571,0.539646766105274,0.539086129117823,0.538637349601027
REF_IAMCOMPACT+XIN,EU-12,Percentage,0.568997843748988,0.541111144663867,0.482481373521099,0.434496753658877,0.434010065375225,0.433440032408485,0.432938053967042,0.432589372261823,0.432291878104268,0.43200851228514,0.43170335979659
REF_IAMCOMPACT+XIN,EU-15,Percentage,0.622921230277462,0.614614362198381,0.56045050625035,0.519338783150584,0.519275006231528,0.518961393121923,0.518810342161902,0.51881465615528,0.518884362214523,0.518960863948359,0.51899937064715
REF_IAMCOMPACT+XIN,Europe_Eastern,Percentage,0.63253943256538,0.617987734259985,0.530951102298005,0.497814569246593,0.49729239598272,0.496703385964234,0.495865850347451,0.495218972316142,0.494647490203988,0.494138648939398,0.493698604447539
REF_IAMCOMPACT+XIN,Europe_Non_EU,Percentage,0.704613498372772,0.67472960754924,0.708087084670728,0.734188795116146,0.73339857924802,0.73242291372693,0.73167685424362,0.73111930210167,0.730637693901137,0.730197861173001,0.729813246798779
REF_IAMCOMPACT+XIN,European Free Trade Association,Percentage,0.649020726741656,0.627824204910558,0.574700714459334,0.516993863588694,0.51655435540697,0.515758445357779,0.515216186181848,0.514818864790601,0.514432864260268,0.514015881771184,0.513619781837962
REF_IAMCOMPACT+XIN,India,Percentage,0.874257720364472,0.859716655099281,0.864471468843076,0.863677481339501,0.861633489553228,0.860275403532792,0.858785012121538,0.857365330063678,0.85607836820085,0.854930901568524,0.85399145753024
REF_IAMCOMPACT+XIN,Indonesia,Percentage,0.166643437606962,0.229709401611443,0.209891431702107,0.200443887000615,0.200023431163977,0.199550873833032,0.199058473438718,0.198706174608593,0.198399632826349,0.198120938263067,0.197876170720966
REF_IAMCOMPACT+XIN,Japan,Percentage,0.363286680708496,0.345306255654452,0.323930006391308,0.315491687365716,0.315526141357456,0.315382588507376,0.315384597104026,0.315423513703999,0.315375541038586,0.315211650635849,0.314986982896839
REF_IAMCOMPACT+XIN,Mexico,Percentage,0.510128994684712,0.44918432616808,0.398255398960447,0.368316839722469,0.367648909153514,0.36680337312944,0.366106988726138,0.365589305133523,0.36514085864408,0.36473174036259,0.364382236097123
REF_IAMCOMPACT+XIN,Middle East,Percentage,0.748535932789898,0.661577014079383,0.603284452759625,0.551750486887566,0.551197278412166,0.550509702435341,0.550028820521361,0.549717907542538,0.549405427062223,0.549051763989399,0.548719729670945
REF_IAMCOMPACT+XIN,Pakistan,Percentage,0.890893469066514,0.886816655610585,0.883677186256873,0.890517838270513,0.890169016653613,0.889754076536854,0.889376730526512,0.889007057388848,0.888618304115268,0.888227444610042,0.887847361492312
REF_IAMCOMPACT+XIN,Russia,Percentage,0.600953191284147,0.619115183108274,0.563774450390681,0.501642757319138,0.501423787917206,0.501186078738726,0.501057281644538,0.500982157145097,0.500889396868567,0.500772976244962,0.500661700524912
REF_IAMCOMPACT+XIN,South Africa,Percentage,0.667070318309783,0.56419083455271,0.514534514342753,0.494274059258235,0.493718281929529,0.492570095391717,0.491585409512091,0.490694447764773,0.489898397525801,0.489184487661418,0.488557903849272
REF_IAMCOMPACT+XIN,South America_Northern,Percentage,0.692504311426741,0.575644312859827,0.549326209816121,0.518063507056439,0.519090183907575,0.518019954760892,0.517258852000638,0.516828999582869,0.516431231273882,0.515997261925796,0.515582301605069
REF_IAMCOMPACT+XIN,South America_Southern,Percentage,0.59844041291768,0.523054743127131,0.480033273227127,0.437130370798975,0.43620268256533,0.435098673713503,0.434122785614373,0.433297043080649,0.432553370079641,0.431865819683016,0.431257664711764
REF_IAMCOMPACT+XIN,South Asia,Percentage,0.722059501116182,0.647979159936484,0.618600594355179,0.582094441577804,0.580701704315884,0.579516855863783,0.578280800114774,0.577024439208866,0.575867747166268,0.574831670682249,0.57394070768814
REF_IAMCOMPACT+XIN,South Korea,Percentage,0.291950420694568,0.276726295180355,0.244728399475662,0.235997437461628,0.236212567773109,0.236324227052326,0.236399653004618,0.236355814692195,0.236198620224273,0.235823914083373,0.235496542148739
REF_IAMCOMPACT+XIN,Southeast Asia,Percentage,0.17557572813629,0.149012151807908,0.135298138116485,0.142891555004045,0.1426967915917,0.142474178095214,0.142292886471015,0.142140887440461,0.141986150580568,0.141819285103296,0.141659752607022
REF_IAMCOMPACT+XIN,Taiwan,Percentage,0.173373678872949,0.162143679624873,0.15295730220217,0.168107547713826,0.167958543091116,0.16773348179529,0.167580477321029,0.167487683810052,0.167382643248653,0.167242607843975,0.167088833225026
REF_IAMCOMPACT+XIN,USA,Percentage,0.670766200763245,0.636551933996167,0.600473827797818,0.561235345246187,0.560789231775052,0.560320867708015,0.559924966178119,0.559604099482039,0.559292300659596,0.558983581951154,0.558704939514488
