"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bermuda","BMU","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","1.48469","","","","","","4.53888","2.90848","","","","","","","","","","","","","","","","","","","","0.04202","","","","","","0.92017","0.4981","","","","","","","","","","",
"Bolivia","BOL","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5633","13.08767","14.39381","14.07655","13.87606","12.81144","12.28248","11.75314","11.77567","12.37565","14.12136","8.45236","9.59029","9.04307","11.43574","10.7151","9.85459","8.90876","7.96735","6.77885","5.37532","","","","",
"Brazil","BRA","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","38.04833","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.39413","34.81253","32.33824","29.57802","26.92677","24.65595","23.67038","","23.10329","19.85654","19.92514","20.48948","20.74503","20.3251","16.54675","15.69987","14.70214","13.99844","14.46358","","","","","",
"Barbados","BRB","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","15.57196","12.19922","12.44825","","","","","","2.2643","","2.81568","","2.02723","","","","","","1.5887","","","","","","","","","","4.29171","4.89479","4.26832","4.66359","4.91462","4.35795","5.76655","5.90802","4.80871","4.13147","6.16887","4.48387","4.83806","","","2.22002","2.04697","1.77512","1.8593","1.90424","","","","",
"Brunei Darussalam","BRN","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","21.61364","21.4625","24.88809","23.49818","26.75758","26.29253","25.44628","26.2968","","27.22602","","","","","15.56777","14.96908","13.74532","13.83724","","","","","","","","","","","4.31192","3.87536","4.37875","2.90526","2.34328","2.76603","2.47675","2.33668","1.87218","3.09898","3.85425","3.97569","4.19843","4.08391","","","","",
"Bhutan","BTN","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","24.45522","25.02208","","","","","","","","","","","","","","","","","","","24.44781","25.14293","24.36422","23.33001","","","","22.48889","21.54952","","19.95193","18.62333","18.30949","18.90577","18.31246","14.8299","","14.54311","14.02736","13.06804","11.53997","","","","",
"Botswana","BWA","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","21.75851","20.44823","17.5308","24.3239","21.26293","18.12147","15.56279","14.72139","15.37547","16.56603","16.29187","8.18497","0","10.4181","12.02687","12.38149","12.81592","13.5297","13.93599","14.56268","14.26516","14.74372","13.90995","13.68703","13.74626","24.44364","24.63743","","23.337","22.67773","22.00763","21.54615","21.50861","21.29089","20.10484","20.4714","20.1161","20.03956","20.06369","19.79896","","","14.38972","14.71013","13.34693","","","","","","","","",
"Central African Republic","CAF","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","21.90528","17.72624","19.12403","","","","29.14296","29.07483","","","20.23934","19.62162","18.35665","","","19.08925","21.79671","26.1223","25.88946","17.89805","18.10875","","","","","","","","","","","","","","24.26688","23.4709","20.97882","20.35225","21.45278","22.15347","21.36774","21.01169","","","","","","","","","","",
"Canada","CAN","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","4.43749","4.27976","4.21477","4.0627","3.94964","3.74214","3.74214","3.74208","3.73966","2.49648","2.54332","2.57871","2.57775","2.46954","2.46954","","0.65341","0","0","","","","","","","","","","","","","0","0","0","0","0","","","","","",
"Central Europe and the Baltics","CEB","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","5.2487","5.51761","","","2.55266","2.63305","2.58449","2.56536","2.52053","2.36646","2.22428","2.13775","2.05669","2.06136","2.06827","2.05757","1.92351","1.95421","1.78798","1.86039","","","2.20313","2.16393","2.10509","2.17664","2.21387","2.26014","2.24886","2.19299","2.09219","2.00917","1.95","1.93499","1.81685","1.62783","1.49925","1.44451","1.51549","1.48293","1.38649","","","","","",
"Channel Islands","CHI","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05318","5.9122","5.91481","7.70131","8.02641","8.14936","7.66578","7.42013","7.16327","6.86703","6.55859","","","","","",
"China","CHN","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.80683","22.26646","20.81602","19.6692","18.33993","17.66851","16.10864","15.00953","14.52665","12.99222","11.60312","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","24.2702","","","","","","","","","","","","","","29.7063","27.69976","","","","17.63979","16.32877","","16.62831","8.04822","5.01964","4.99593","9.02606","","","","","","18.77439","","","","17.18187","13.31161","","10.54454","10.38117","7.97903","","","","",
"Cameroon","CMR","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","25.11909","25.65821","23.82578","33.3854","24.56898","23.96954","23.59057","22.82396","22.78072","22.75855","","","","","","","","24.0465","","22.43959","22.43957","","","","","","","","","","","","","","","","","","14.1133","","11.51936","11.51938","","9.98439","9.85895","14.14693","12.00229","","","","","",
"Congo, Dem. Rep.","COD","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","27.38067","29.04004","","","24.80741","","","","20.82992","","","","20.62996","20.62994","","","","21.99283","","","21.98076","22.0612","24.26141","19.59825","15.84845","","","","28.80079","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","27.24151","","24.30186","","23.85107","","21.52018","21.25788","32.17394","32.10691","32.14202","32.12352","32.09122","","","","","","","","","","","","","","","","","","","","","46.39279","47.06261","","","","13.39667","","15.17782","","","","","","","","","","",
"Colombia","COL","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","35.50973","","35.76974","35.7875","35.78752","35.78752","35.78749","35.78751","","33.4","27.07998","27.06085","27.42044","23.21148","22.90283","","21.58393","19.37578","18.93137","18.30474","18.26971","","18.90081","18.90084","20.073","21.04556","22.10347","22.50742","20.61998","19.0377","18.68922","18.81235","16.96587","16.32901","16.42866","15.25021","15.18755","","","","",
"Comoros","COM","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","22.79035","","","25.12257","24.95673","","","","","","","27.85565","","","","","33.27254","33.27303","","","","","","","21.29968","","","","","","","","","","16.61414","17.86864","","","","",
"Cabo Verde","CPV","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","18.99213","19.91408","18.36739","17.25709","15.41311","15.23597","15.99807","12.666","","12.15744","","","","9.41629","","","","16.4867","","16.82308","17.094","17.86347","17.02355","17.04174","16.54516","16.90694","15.79929","15.69483","14.79306","13.83867","13.3777","12.13496","11.36025","10.58144","9.2147","8.63414","","10.19539","","","","",
"Costa Rica","CRI","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","18.82202","","16.52738","16.52737","","13.82496","13.46606","","14.5332","15.32069","14.80323","14.52659","13.91114","","","13.6735","13.81709","13.60166","","14.04921","14.31257","14.94252","14.14014","14.02513","14.75541","13.79584","12.21358","","","","","","","","","","","","","","","12.00132","12.49818","12.62532","13.17825","12.25544","12.10663","9.17487","13.67632","","","","",
"Caribbean small states","CSS","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","19.45111","19.45531","19.24374","","","","","13.33558","10.72222","9.10218","8.16207","8.59797","9.60998","9.96804","9.23541","8.2429","7.74233","6.68703","5.85811","4.61173","3.53202","3.19949","2.36848","2.3296","4.29445","4.45003","4.76864","4.36637","4.45189","4.44012","4.35967","4.18843","4.02795","4.37352","4.4088","3.13113","3.0197","2.81965","2.75698","2.73925","2.8744","1.30437","2.96569","3.2163","3.1622","2.8573","2.60661","","","","",
"Curacao","CUW","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.94986","2.44541","1.18343","5.67198","","1.9637","3.42593","2.31147","5.18079","5.51392","","","2.63488","1.71089","1.8481","","","","","1.76785","","","","",
