database,scenario
sppnr_all_10,sppnr_all_10_x0_2025_k_0.005
sppnr_all_10,sppnr_all_10_x0_2035_k_0.005
sppnr_all_10,sppnr_all_10_x0_2045_k_0.005
sppnr_all_10,sppnr_all_10_x0_2025_k_0.405
sppnr_all_10,sppnr_all_10_x0_2035_k_0.405
sppnr_all_10,sppnr_all_10_x0_2045_k_0.405
sppnr_all_10,sppnr_all_10_x0_2025_k_0.805
sppnr_all_10,sppnr_all_10_x0_2035_k_0.805
sppnr_all_10,sppnr_all_10_x0_2045_k_0.805
sppnr_all_10,sppnr_all_10_x0_2025_k_1.205
sppnr_all_10,sppnr_all_10_x0_2035_k_1.205
sppnr_all_10,sppnr_all_10_x0_2045_k_1.205
sppnr_all_20,sppnr_all_20_x0_2025_k_0.005
sppnr_all_20,sppnr_all_20_x0_2035_k_0.005
sppnr_all_20,sppnr_all_20_x0_2045_k_0.005
sppnr_all_20,sppnr_all_20_x0_2025_k_0.405
sppnr_all_20,sppnr_all_20_x0_2035_k_0.405
sppnr_all_20,sppnr_all_20_x0_2045_k_0.405
sppnr_all_20,sppnr_all_20_x0_2025_k_0.805
sppnr_all_20,sppnr_all_20_x0_2035_k_0.805
sppnr_all_20,sppnr_all_20_x0_2045_k_0.805
sppnr_all_20,sppnr_all_20_x0_2025_k_1.205
sppnr_all_20,sppnr_all_20_x0_2035_k_1.205
sppnr_all_20,sppnr_all_20_x0_2045_k_1.205
sppnr_all_30,sppnr_all_30_x0_2025_k_0.005
sppnr_all_30,sppnr_all_30_x0_2035_k_0.005
sppnr_all_30,sppnr_all_30_x0_2045_k_0.005
sppnr_all_30,sppnr_all_30_x0_2025_k_0.405
sppnr_all_30,sppnr_all_30_x0_2035_k_0.405
sppnr_all_30,sppnr_all_30_x0_2045_k_0.405
sppnr_all_30,sppnr_all_30_x0_2025_k_0.805
sppnr_all_30,sppnr_all_30_x0_2035_k_0.805
sppnr_all_30,sppnr_all_30_x0_2045_k_0.805
sppnr_all_30,sppnr_all_30_x0_2025_k_1.205
sppnr_all_30,sppnr_all_30_x0_2035_k_1.205
sppnr_all_30,sppnr_all_30_x0_2045_k_1.205
sppnr_all_40,sppnr_all_40_x0_2025_k_0.005
sppnr_all_40,sppnr_all_40_x0_2035_k_0.005
sppnr_all_40,sppnr_all_40_x0_2045_k_0.005
sppnr_all_40,sppnr_all_40_x0_2025_k_0.405
sppnr_all_40,sppnr_all_40_x0_2035_k_0.405
sppnr_all_40,sppnr_all_40_x0_2045_k_0.405
sppnr_all_40,sppnr_all_40_x0_2025_k_0.805
sppnr_all_40,sppnr_all_40_x0_2035_k_0.805
sppnr_all_40,sppnr_all_40_x0_2045_k_0.805
sppnr_all_40,sppnr_all_40_x0_2025_k_1.205
sppnr_all_40,sppnr_all_40_x0_2035_k_1.205
sppnr_all_40,sppnr_all_40_x0_2045_k_1.205
sppnr_all_50,sppnr_all_50_x0_2025_k_0.005
sppnr_all_50,sppnr_all_50_x0_2035_k_0.005
sppnr_all_50,sppnr_all_50_x0_2045_k_0.005
sppnr_all_50,sppnr_all_50_x0_2025_k_0.405
sppnr_all_50,sppnr_all_50_x0_2035_k_0.405
sppnr_all_50,sppnr_all_50_x0_2045_k_0.405
sppnr_all_50,sppnr_all_50_x0_2025_k_0.805
sppnr_all_50,sppnr_all_50_x0_2035_k_0.805
sppnr_all_50,sppnr_all_50_x0_2045_k_0.805
sppnr_all_50,sppnr_all_50_x0_2025_k_1.205
sppnr_all_50,sppnr_all_50_x0_2035_k_1.205
sppnr_all_50,sppnr_all_50_x0_2045_k_1.205
sppnr_all_60,sppnr_all_60_x0_2025_k_0.005
sppnr_all_60,sppnr_all_60_x0_2035_k_0.005
sppnr_all_60,sppnr_all_60_x0_2045_k_0.005
sppnr_all_60,sppnr_all_60_x0_2025_k_0.405
sppnr_all_60,sppnr_all_60_x0_2035_k_0.405
sppnr_all_60,sppnr_all_60_x0_2045_k_0.405
sppnr_all_60,sppnr_all_60_x0_2025_k_0.805
sppnr_all_60,sppnr_all_60_x0_2035_k_0.805
sppnr_all_60,sppnr_all_60_x0_2045_k_0.805
sppnr_all_60,sppnr_all_60_x0_2025_k_1.205
sppnr_all_60,sppnr_all_60_x0_2035_k_1.205
sppnr_all_60,sppnr_all_60_x0_2045_k_1.205
sppnr_all_70,sppnr_all_70_x0_2025_k_0.005
sppnr_all_70,sppnr_all_70_x0_2035_k_0.005
sppnr_all_70,sppnr_all_70_x0_2045_k_0.005
sppnr_all_70,sppnr_all_70_x0_2025_k_0.405
sppnr_all_70,sppnr_all_70_x0_2035_k_0.405
sppnr_all_70,sppnr_all_70_x0_2045_k_0.405
sppnr_all_70,sppnr_all_70_x0_2025_k_0.805
