"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Botswana","BWA","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","23.63347","22.29118","19.07095","25.05841","21.38732","17.80529","15.09675","14.09589","14.43161","15.68071","15.78833","8.26358","0","10.72003","12.60643","13.02256","13.50127","14.17934","14.6572","15.11661","14.87717","15.58245","14.75301","14.78862","14.98352","25.68792","25.99278","","24.95845","24.22158","23.64515","23.16431","23.16827","23.01989","20.71073","22.04694","21.80349","21.91322","22.00972","21.70748","","","16.05914","16.4118","15.09029","","","","","","","","",
"Central African Republic","CAF","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","24.00974","19.71291","21.58008","","","","31.088","31.03437","","","21.20214","20.3224","18.77113","","","20.18093","22.96214","27.83277","27.95204","19.38733","19.38854","","","","","","","","","","","","","","25.98523","24.91869","21.68178","21.56744","22.44543","23.98932","22.76362","22.6139","","","","","","","","","","",
"Canada","CAN","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","5.11846","5.17566","5.1117","4.93302","4.78842","4.44822","4.4482","4.43936","4.45185","3.15518","3.21025","2.56457","2.61517","2.53315","2.53317","","0.65372","0","0","","","","","","","","","","","","","0","0","0","0","0","","","","","",
"Central Europe and the Baltics","CEB","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","5.77981","6.15675","","","2.82826","2.93301","2.88388","2.89401","2.82432","2.67576","2.52703","2.40219","2.34613","2.29595","2.37499","2.35873","2.18141","2.19032","2.00212","2.10317","","","2.48798","2.46568","2.40988","2.47612","2.50508","2.5692","2.5416","2.49122","2.43362","2.29912","2.2315","2.18694","2.08612","1.86173","1.71294","1.67676","1.77022","1.78593","1.63472","","","","","",
"Channel Islands","CHI","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.95815","6.87139","6.84352","8.97702","9.35322","9.49219","9.11951","8.82253","8.53557","8.2396","7.87484","","","","","",
"China","CHN","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.43709","","22.26885","21.03414","19.5033","18.57707","17.0036","15.75771","15.20926","13.55078","12.0794","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","25.47846","","","","","","","","","","","","","","","","","","","18.61345","17.24188","","17.62866","8.63538","5.4621","5.40543","9.76429","","","","","","19.63303","","","","20.0225","13.97656","","11.12722","10.84394","7.69654","","","","",
"Cameroon","CMR","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","26.6964","27.23086","25.10682","35.0033","26.04737","25.28598","24.83003","23.88052","23.71915","23.67918","","","","","","","","24.79932","","23.12765","23.12987","","","","","","","","","","","","","","","","","","","","12.06136","12.06558","","10.44737","10.31691","14.85672","12.71804","","","","","",
