Title: gcam macronutrients by region,,,,
Source: DF_Macronutrient_FoodItem2 - module_aglu_L100.FAO_SUA_connection,,,,
Units: ratio,,,,
"Comments: Some regions had missing values for OilPalm and FiberCrop. They have been filled with the values of the more similar region: 8 with 1, 14 with 15, 23 with 15, 31 with 7, 18 with 29, 19 with 28, and 30 with 29",,,,
########,,,,
GCAM_region_ID,GCAM_commodity,calperg,fatperc,proteinperc
9,Soybean,8036.586524,88.86563631,3.730201489
9,SugarCrop,482.1557575,0.010978638,0.010320225
9,Vegetables,272.7732081,0.269963001,1.178839645
9,Wheat,3526.610255,1.999095986,9.851328709
9,Beef,1826.162344,14.56703648,12.04619205
10,Corn,3575.344776,6.275498862,7.445004265
10,Dairy,729.5456142,4.474753792,3.704970357
10,FiberCrop,5223.821446,59.09299574,0
10,Fruits,468.5860339,0.301251465,0.523013398
10,Legumes,3423.013175,1.775016062,22.2569301
10,MiscCrop,3683.562364,29.88036878,9.027719093
10,NutsSeeds,3462.804347,31.92846921,9.984379418
10,OilCrop,7513.565713,84.48251875,1.159062642
10,OilPalm,2388.291733,27.01475896,0
10,OtherGrain,3383.012912,1.081884363,7.472598065
10,OtherMeat_Fish,1657.791682,12.07190209,11.80690871
10,Pork,2975.181049,27.59048642,11.35297839
10,Poultry,1292.924278,8.692486191,11.40682235
10,Rice,2654.691984,0.578930196,4.973729009
10,RootTuber,667.448744,0.122524599,1.590004574
10,SheepGoat,1859.211473,14.83704431,11.70465445
10,Soybean,7985.261389,89.93312308,0.384811943
10,SugarCrop,587.206186,0.000259248,0.000423769
10,Vegetables,244.0158525,0.194797055,0.94640123
10,Wheat,3418.755012,1.306018296,10.1455812
10,Beef,2223.759678,18.42620918,13.49962436
11,Corn,2635.96435,3.984128337,5.259044337
11,Dairy,702.448017,4.130988164,3.472221968
11,FiberCrop,6379.835704,72.17008607,0
11,Fruits,432.3184066,0.279987801,0.476227968
11,Legumes,3362.934926,1.873724166,22.59946263
11,MiscCrop,936.1557169,3.172955142,9.733590558
11,NutsSeeds,3599.96296,31.18578145,12.30205979
11,OilCrop,6688.930192,74.22275547,1.911880537
11,OilPalm,2573.069742,29.10742825,0
11,OtherGrain,4013.983541,1.512360461,7.251234453
11,OtherMeat_Fish,598.1436229,1.78690728,7.834845915
11,Pork,3837.831553,37.24570274,11.09308148
11,Poultry,1569.574196,11.66107334,11.54064458
11,Rice,2713.061905,0.881742441,4.913295964
11,RootTuber,811.4561944,0.156426892,1.453525813
11,SheepGoat,1992.75437,13.36613974,13.42770677
11,Soybean,4767.188622,41.1670209,17.68398477
11,SugarCrop,497.7256287,0.023034745,0.011018473
11,Vegetables,259.5469869,0.204487258,1.316650789
11,Wheat,3365.774754,1.936494905,10.74071011
11,Beef,1548.093937,11.06214876,13.48953247
12,Corn,3410.197633,4.108605168,7.522775186
12,Dairy,1071.663325,7.762046195,5.466340975
12,FiberCrop,5764.094658,65.12023675,0
12,Fruits,405.0528447,0.276465029,0.475397373
12,Legumes,3398.27832,1.766139217,22.15611378
12,MiscCrop,2026.57296,14.14678897,6.974351104
12,NutsSeeds,3567.027275,31.67052972,12.2196499
12,OilCrop,6446.50589,72.2448158,0.81471155
12,OilPalm,2387.568502,27.00968644,0
12,OtherGrain,2659.564196,0.758751305,5.012078236
12,OtherMeat_Fish,1245.7681,7.135496294,11.68842482
12,Pork,3021.00172,27.96301039,11.69976287
12,Poultry,1358.275516,9.277122368,12.19618004
12,Rice,2542.903362,0.651380709,4.957636405
12,RootTuber,653.9294193,0.116765627,1.544543175
12,SheepGoat,2020.874878,16.9376406,12.0159829
12,Soybean,8014.973235,89.23114823,2.615426975
12,SugarCrop,624.0120002,0.004563887,0.013573428
12,Vegetables,270.4301312,0.313092391,1.175597388
12,Wheat,3365.010471,1.510908751,10.4798544
12,Beef,1526.185503,9.993926726,14.7693766
13,Corn,3590.47905,10.77961283,6.499702968
13,Dairy,1036.657516,7.498023995,5.602158894
13,FiberCrop,5664.503866,64.07816996,0
13,Fruits,357.4826208,0.24351359,0.438121935
13,Legumes,3409.327811,2.119099105,22.22165187
13,MiscCrop,1724.718945,12.39738228,6.703354344
13,NutsSeeds,3425.987688,31.01423139,9.886713582
13,OilCrop,4919.937991,55.15756863,0.56669015
13,OilPalm,2394.041609,27.08191865,0
13,OtherGrain,2609.554267,0.795979269,4.556572624
13,OtherMeat_Fish,928.9619931,4.47226344,10.58864544
13,Pork,2665.34198,24.45903744,10.72154381
13,Poultry,1375.339534,9.136071946,12.48775858
13,Rice,2545.377257,0.555346736,4.82741473
13,RootTuber,636.7470074,0.106446719,1.447475143
13,SheepGoat,2218.1476,18.98147035,12.15381658
13,Soybean,7994.076379,89.32848685,1.93131708
13,SugarCrop,616.3348329,0.00651263,0.002320006
13,Vegetables,265.5093019,0.2326581,1.219507526
13,Wheat,3301.697376,1.628869817,10.48142573
13,Beef,2201.327146,17.83185423,13.99835739
14,Corn,3468.949811,3.591227479,7.759661442
14,Dairy,817.5797486,5.28664337,3.740855278
14,FiberCrop,5532.191542,62.58135228,0
14,Fruits,413.596537,0.266236186,0.468584784
14,Legumes,3439.807268,1.866581646,22.35617807
14,MiscCrop,2281.545471,18.12600924,5.675510691
14,NutsSeeds,3438.763083,31.66130396,10.72953476
14,OilCrop,7503.624808,84.78282926,0.091812163
14,OilPalm,2436.295542,27.6537519,0
14,OtherGrain,2738.246318,1.280914131,6.276225123
14,OtherMeat_Fish,1251.463091,7.469963055,11.50631499
14,Pork,2955.511418,26.79894409,12.65955363
14,Poultry,1311.780222,8.850160066,11.60116598
14,Rice,2664.470353,0.521726141,4.961194092
14,RootTuber,668.4594416,0.122970189,1.595188792
14,SheepGoat,1714.915391,13.18606446,12.5093248
14,Soybean,7527.323614,83.22395099,3.419946888
14,SugarCrop,712.3915743,0.002156611,0.000768313
14,Vegetables,254.588915,0.18966626,1.053913032
14,Wheat,3373.352025,1.549372514,9.932643437
14,Beef,1621.250479,12.75860395,11.35646741
15,Corn,3535.649901,5.367606713,7.194704282
15,Dairy,742.003356,4.736260867,3.727864525
15,FiberCrop,5532.191542,62.58135228,0
15,Fruits,444.930889,0.301955344,0.531994934
15,Legumes,3470.233521,2.773419487,21.63987189
15,MiscCrop,1986.01,12.83771432,8.950998507
15,NutsSeeds,3263.611726,29.11844184,9.047027261
15,OilCrop,4887.438184,53.70783355,2.402367958
15,OilPalm,2374.976711,26.86662769,0
15,OtherGrain,2721.831234,0.696843833,5.389230134
15,OtherMeat_Fish,1299.735109,5.174903334,11.013172
15,Pork,2816.097515,26.10324564,10.94141392
15,Poultry,1286.845676,8.512488039,11.85201861
15,Rice,2618.450963,0.48486098,4.619196369
15,RootTuber,693.8797131,0.120817025,1.655646818
15,SheepGoat,1652.038323,12.25366452,9.200211764
15,Soybean,6723.054379,71.34497542,8.631232138
15,SugarCrop,659.4856477,0.003708549,0.001338041
15,Vegetables,233.0743385,0.248948382,1.014756294
15,Wheat,3263.621344,1.396348346,10.56103628
15,Beef,1649.374566,11.83621389,13.78467705
16,Corn,3538.296498,8.743663901,6.81197728
16,Dairy,1157.631692,8.377522088,6.210492903
16,FiberCrop,6003.069754,67.62809974,0
16,Fruits,389.7910353,0.327871204,0.455795618
16,Legumes,3406.557537,1.841647691,22.44906294
16,MiscCrop,2191.753573,18.73819775,4.772764827
16,NutsSeeds,3587.465734,33.90948801,8.500181071
16,OilCrop,5484.606563,61.37123007,0.79066122
16,OilPalm,2531.109754,28.99323888,0
16,OtherGrain,2537.218677,0.824706925,4.569346316
16,OtherMeat_Fish,1096.701002,6.760548134,9.728980494
