Title: GramProteinFatPerKcal,,,,,,,,
Source: DF_Macronutrient_FoodItem3 - module_aglu_L100.FAO_SUA_connection,,,,,,,,
#######,,,,,,,,
GCAM_commodity,GCAM_region_ID,Mt,fatperc,proteinperc,Kcalperg,MKcal,gProteinPerKcal,gFatPerKcal
SheepGoat,31,0.069920901,16.02215378,11.23161568,1.90939026,133.506288,5.882304899,8.391240973
Soybean,31,0.117122014,96.15456618,0.020435734,8.501981142,995.769152,0.002403644,11.3096659
SugarCrop,31,11.76978943,0.001082101,3.85E-04,0.527594805,6209.679764,7.31E-04,0.002051008
Vegetables,31,3.031244501,0.227861804,1.205891089,0.29456098,892.88635,4.093858902,0.773564118
Wheat,31,3.912241624,1.252661974,9.487191662,3.563073483,13939.60439,2.662642718,0.351567819
Beef,6,0.957690737,8.388321334,12.66020693,1.290745595,1236.1351,9.80844481,6.498818487
Corn,6,0.119139225,6.504748179,6.532913141,3.287467305,391.666308,1.987217677,1.978650303
Dairy,6,4.317991938,7.716691515,4.526639444,1.037290562,4479.012282,4.363906905,7.439276709
FiberCrop,6,0.086319137,73.55726933,0,6.502462609,561.28696,0,11.31221719
Fruits,6,3.190477057,0.39502232,0.378738605,0.348997871,1113.4697,1.085217523,1.131876018
Legumes,6,0.035133887,2.286261853,22.05889444,3.434529491,120.66837,6.422683077,0.665669594
MiscCrop,6,0.248096642,10.40553082,7.101676508,1.659535647,411.725222,4.279315434,6.27014601
NutsSeeds,6,0.253415564,26.93795734,10.30652853,3.042911869,771.121228,3.387061134,8.852690614
OilCrop,6,0.480348978,66.46881217,0.572641354,5.930116363,2848.525332,0.096564944,11.20868599
OilPalm,6,0.306317923,26.88970963,0,2.377050331,728.13312,0,11.31221719
OtherGrain,6,0.578724952,0.401717348,3.274724053,2.219936328,1284.732544,1.475143234,0.180958951
OtherMeat_Fish,6,1.17863717,6.372784794,11.11277877,1.115992217,1315.349908,9.957756515,5.710420465
Pork,6,0.54550971,19.7091483,11.21247861,2.151048772,1173.417992,5.212563638,9.16257621
Poultry,6,1.535269203,8.516096669,12.36567502,1.298437367,1993.450902,9.523505198,6.558727346
Rice,6,0.344213016,0.47559128,5.112226837,2.646026102,910.796626,1.932039458,0.17973794
RootTuber,6,1.615611067,0.106514471,1.368507675,0.654399538,1057.255136,2.091241811,0.162766727
SheepGoat,6,0.369624631,16.90401929,11.28870578,2.27403136,840.538002,4.964182105,7.433503157
Soybean,6,0.04696675,45.00381816,3.800530082,4.2997901,201.947168,0.883887351,10.46651514
SugarCrop,6,6.244041404,0.005537969,0.00210278,0.635725036,3969.493446,0.003307688,0.008711265
Vegetables,6,3.034338323,0.271720776,1.197479526,0.278377826,844.692506,4.301634016,0.976086277
Wheat,6,1.918073622,2.264559398,10.27324,3.380737829,6484.504054,3.038756781,0.669841766
Beef,7,10.80401133,7.267513563,9.809129051,1.072744439,11589.94308,9.143957024,6.774692365
