"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bermuda","BMU","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","1.04729","","","","","","3.43084","2.45171","","","","","","","","","","","","","","","","","","","","0.04167","","","","","","0.42553","0.44204","","","","","","","","","","",
"Bolivia","BOL","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.70461","12.27598","13.61975","13.25066","13.12906","12.17221","11.66199","11.26422","11.35268","11.93293","13.64326","7.78259","9.18854","8.56327","10.8916","10.1348","9.29164","8.43651","7.48838","6.39808","5.0189","","","","",
"Brazil","BRA","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.65595","20.56398","","20.05731","17.39508","17.25111","17.5528","17.89656","17.63904","14.53626","13.82354","12.86194","12.21149","12.63972","","","","","",
"Barbados","BRB","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","15.2956","13.24593","","","","","","","","","1.88424","","1.77535","","","","","","1.72591","","","","","","","","","","3.83347","3.94385","3.84034","4.31611","4.20652","3.96593","5.57129","5.14719","4.21573","3.87465","5.83117","4.39077","4.3653","","","1.76846","1.42254","1.18099","1.27997","1.39202","","","","",
"Brunei Darussalam","BRN","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","20.60684","20.29715","23.72116","22.12371","25.12071","25.0033","23.99489","24.67208","","26.28299","","","","","13.53441","12.89054","11.09177","11.38012","","","","","","","","","","","3.47723","3.16197","3.6182","2.51273","2.06598","2.28986","1.84669","2.24295","1.53124","3.47761","4.39022","3.77474","4.07365","3.76611","","","","",
"Bhutan","BTN","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","18.39926","19.30303","","","","","","","","","","","","","","","","","","","22.77399","23.67498","23.04204","22.31463","","","","21.48001","20.63099","","19.35883","18.19643","17.84631","18.23811","17.82861","14.40978","","14.09376","13.61865","12.76504","11.08261","","","","",
"Botswana","BWA","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","20.10079","18.83823","16.20618","23.70557","21.15945","18.38027","15.94249","15.23098","16.14246","17.28958","16.71127","8.11797","0","10.15369","11.50884","11.79929","12.17852","12.92264","13.26125","14.04085","13.69114","13.95022","13.10331","12.61375","12.52918","23.20391","23.27889","","21.69102","21.1168","20.34875","19.90411","19.81185","19.52412","19.4809","18.85105","18.36749","18.08481","18.03403","17.79278","","","12.65113","12.92683","11.51188","","","","","","","","",
"Central African Republic","CAF","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","17.57617","13.70518","14.2675","","","","25.60176","25.47392","","","18.58226","18.40563","17.58973","","","17.38642","19.91983","23.34749","22.56055","15.5489","16.14644","","","","","","","","","","","","","","21.80131","21.39159","19.98271","18.65041","20.07035","19.60532","19.4693","18.88443","","","","","","","","","","",
"Canada","CAN","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","3.70889","3.31352","3.24673","3.12561","3.04782","2.98399","2.98402","2.98419","2.98338","1.79146","1.82982","2.59381","2.53778","2.40173","2.40172","","0.65307","0","0","","","","","","","","","","","","","0","0","0","0","0","","","","","",
"Central Europe and the Baltics","CEB","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","4.70049","4.85599","","","2.26575","2.31958","2.27245","2.22364","2.20428","2.04453","1.91081","1.86395","1.75667","1.81818","1.75013","1.7455","1.65017","1.70451","1.56135","1.60387","","","1.90149","1.845","1.78293","1.86012","1.90627","1.93247","1.93872","1.87679","1.72988","1.70107","1.65073","1.66686","1.52978","1.37928","1.27258","1.19919","1.24592","1.16155","1.12342","","","","","",
"Channel Islands","CHI","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.06629","4.86342","4.90277","6.33932","6.60553","6.71173","6.11038","5.92078","5.69689","5.40204","5.15514","","","","","",
"China","CHN","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.82515","","19.0824","18.0592","16.98518","16.6226","15.08302","14.1598","13.75899","12.36985","11.07669","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","22.27997","","","","","","","","","","","","","","","","","","","16.31069","15.08728","","15.27849","7.26048","4.43825","4.43831","8.09407","","","","","","17.71214","","","","13.86515","12.54243","","9.89105","9.87041","8.28623","","","","",
